Feature_A,Feature_B,Feature_C,Feature_D,Feature_E,Feature_F,Feature_G,Feature_H,Feature_I,Feature_J,Feature_K,Feature_L,Feature_M,Feature_N,Label
4.7,B_3,11475.4,D_2,0.9,F_2,G_1,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
4.2,B_3,16300.3,D_1,1.3,F_4,G_11,H_4,I_3,J_2,0.0,0.0,4.0,N_1,Yes
6.2,B_3,13631.4,D_6,1.0,F_2,G_1,H_3,I_1,J_2,0.0,0.0,4.0,N_1,Yes
1.8,B_3,7405.4,D_3,0.7,F_1,G_6,H_4,I_5,J_2,0.0,0.0,2.0,,Yes
4.9,B_2,26356.8,D_1,1.3,F_2,G_2,H_2,I_1,J_1,0.0,0.0,6.0,N_1,No
7.3,B_3,2967.5,D_2,0.9,F_7,G_5,H_6,I_1,J_2,0.0,0.0,1.2,N_1,Yes
7.9,B_3,12070.7,D_10,1.6,F_2,G_4,H_2,I_1,J_1,2005.1,0.0,3.5,N_25,No
3.5,B_3,4560.7,D_6,1.0,F_1,G_5,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
2.6,B_3,14182.4,D_6,1.0,F_3,G_2,H_1,I_1,J_2,0.0,0.0,4.0,N_1,Yes
3.8,B_4,16146.3,D_6,1.0,F_2,G_5,H_2,I_2,J_1,0.0,0.0,4.0,N_1,Yes
4.3,B_3,3793.7,D_4,1.4,F_3,G_2,H_5,I_1,J_1,0.0,0.0,5.0,N_1,Yes
4.3,B_3,21604.2,D_6,1.0,F_3,G_11,H_4,I_1,J_2,0.0,161.7,7.2,N_1,Yes
6.1,B_3,4355.4,D_12,0.3,F_1,G_3,H_1,I_2,J_1,0.0,233.9,4.0,N_1,Yes
6.2,B_2,19223.6,D_1,1.3,F_3,G_4,H_1,I_1,J_2,0.0,0.0,4.0,N_1,No
6.2,B_3,7788.4,D_2,0.9,F_2,G_6,H_2,I_3,J_1,0.0,0.0,4.0,N_13,Yes
2.1,B_3,19409.6,D_6,1.0,F_1,G_5,H_4,I_1,J_2,0.0,0.0,4.0,N_1,Yes
5.6,B_3,17474.4,D_2,0.9,F_2,G_5,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
4.6,B_5,10207.6,D_2,0.9,F_3,G_1,H_5,I_1,J_2,0.0,0.0,2.5,N_1,Yes
6.0,B_1,2703.7,D_2,0.9,F_2,G_12,H_2,I_4,J_1,0.0,0.0,4.0,N_1,No
4.6,B_3,18212.8,D_4,1.4,F_3,G_4,H_5,I_1,J_2,649.7,0.0,5.0,N_1,Yes
2.7,B_3,10843.1,D_6,1.0,F_1,G_7,H_1,I_2,J_1,0.0,0.0,4.0,N_1,Yes
2.4,B_3,15958.0,D_1,1.3,F_1,G_5,H_4,I_2,J_2,0.0,0.0,7.5,N_1,Yes
2.2,,19628.0,D_6,1.0,F_1,,H_4,I_1,J_2,0.0,0.0,2.0,N_1,Yes
3.6,B_3,14058.3,D_2,0.9,F_3,G_3,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
5.9,B_3,35929.2,D_14,0.2,F_2,G_10,H_2,I_1,J_1,0.0,0.0,4.0,N_5,Yes
3.4,B_3,18109.1,D_1,1.3,F_2,G_2,H_2,I_1,J_1,0.0,197.7,4.5,N_1,No
3.6,B_3,33659.5,D_2,0.9,F_2,G_2,H_2,I_1,J_1,0.0,0.0,5.0,N_1,No
4.6,B_3,27919.6,D_1,1.3,F_1,G_7,H_1,I_1,J_2,0.0,0.0,4.0,N_1,Yes
5.3,B_3,12144.1,D_6,1.0,F_2,G_6,H_2,I_1,J_1,0.0,0.0,5.5,N_1,Yes
5.2,B_3,32615.6,D_6,1.0,F_3,G_4,H_1,I_1,J_1,0.0,0.0,4.0,N_1,No
2.1,B_3,39679.0,D_2,0.9,F_1,G_8,H_4,I_2,J_1,0.0,0.0,2.0,N_1,Yes
3.4,B_3,22367.8,D_2,0.9,F_1,G_5,H_5,I_4,J_2,0.0,0.0,3.2,N_1,Yes
2.5,B_3,30403.2,D_2,0.9,F_1,G_1,H_4,I_1,J_1,0.0,0.0,3.6,N_1,Yes
2.8,B_3,18388.5,D_2,0.9,F_1,G_5,H_4,I_1,J_1,0.0,0.0,3.0,N_1,Yes
4.9,B_3,16546.8,D_2,0.9,F_2,G_2,H_2,I_1,J_1,768.8,0.0,5.5,N_1,No
3.7,B_3,31276.6,D_2,0.9,F_3,G_5,H_1,I_1,J_2,0.0,0.0,4.0,N_1,Yes
1.8,,26492.4,D_6,1.0,F_1,,H_4,I_1,J_2,0.0,0.0,4.0,N_1,Yes
4.2,B_5,23818.8,D_4,1.4,F_2,G_4,H_2,I_1,J_1,0.0,0.0,3.5,N_1,No
3.4,B_4,11211.5,D_6,1.0,F_1,G_7,H_6,I_1,J_1,0.0,0.0,4.0,N_1,Yes
6.0,B_3,14054.4,D_2,0.9,F_1,G_3,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
3.7,B_3,32998.0,D_4,1.4,F_2,G_2,H_2,I_1,J_1,0.0,241.5,6.0,N_1,No
4.5,B_4,5690.4,D_1,1.3,F_2,G_1,H_2,I_1,J_1,501.3,0.0,4.5,N_1,Yes
4.1,B_3,17606.9,D_2,0.9,F_5,G_10,H_5,I_1,J_2,0.0,0.0,4.0,N_1,Yes
2.5,B_3,10569.3,D_1,1.3,F_1,G_4,H_1,I_1,J_2,0.0,0.0,4.0,N_1,Yes
5.7,B_6,11925.3,D_4,1.4,F_2,G_6,H_2,I_1,J_1,1502.4,0.0,6.5,N_1,No
3.4,B_3,21961.9,D_2,0.9,F_1,G_3,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
2.8,B_3,18483.1,D_6,1.0,F_1,G_7,H_5,I_1,J_1,0.0,0.0,4.0,N_1,Yes
2.4,B_3,17373.6,D_8,1.1,F_1,G_7,H_1,I_1,J_1,0.0,0.0,5.5,N_1,Yes
4.2,B_3,11849.4,D_6,1.0,F_2,G_4,H_2,I_1,J_1,0.0,0.0,4.4,N_1,No
2.0,B_3,20995.5,D_6,1.0,F_1,G_5,H_4,I_1,J_1,0.0,0.0,2.5,N_1,Yes
2.1,B_3,6177.7,D_6,1.0,F_1,G_7,H_1,I_1,J_1,0.0,0.0,7.0,N_1,Yes
3.4,B_6,17576.1,D_1,1.3,F_2,G_4,H_2,I_1,J_1,0.0,0.0,6.0,N_1,No
1.9,B_3,35705.9,D_2,0.9,F_1,G_1,H_4,I_1,J_2,0.0,0.0,3.5,N_1,Yes
2.0,B_3,21524.7,D_6,1.0,F_1,G_1,H_4,I_1,J_2,0.0,0.0,2.0,N_1,Yes
1.9,B_2,22731.0,D_6,1.0,F_1,G_5,H_4,I_1,J_2,0.0,0.0,2.5,N_1,Yes
2.0,B_3,16520.1,D_6,1.0,F_1,G_1,H_4,I_1,J_2,0.0,0.0,0.4,N_1,Yes
4.9,,55818.3,D_8,1.1,F_4,,H_5,I_1,J_2,0.0,0.0,4.0,N_1,Yes
3.4,B_3,23123.8,D_2,0.9,F_2,G_10,H_2,I_2,J_1,0.0,0.0,4.0,N_1,Yes
4.9,B_3,14933.7,D_1,1.3,F_2,G_2,H_2,I_1,J_1,0.0,0.0,4.0,N_1,No
2.5,B_3,11105.8,D_7,1.2,F_1,G_2,H_4,I_1,J_1,0.0,0.0,4.0,N_1,Yes
4.6,B_4,11989.0,D_8,1.1,F_5,G_11,H_1,I_5,J_2,0.0,0.0,3.0,N_1,Yes
3.8,B_3,5183.8,D_2,0.9,F_2,G_4,H_3,I_1,J_2,0.0,0.0,4.0,N_1,Yes
1.7,,26219.6,D_13,0.6,F_1,,H_4,I_1,J_1,0.0,0.0,0.8,N_1,Yes
3.9,B_3,17966.8,D_1,1.3,F_2,G_11,H_2,I_1,J_1,1502.4,0.0,4.0,N_1,No
2.1,B_3,18260.6,D_6,1.0,F_1,G_5,H_4,I_2,J_1,0.0,0.0,4.0,,Yes
2.8,B_3,27036.6,D_13,0.6,F_3,G_6,H_1,I_1,J_2,0.0,0.0,4.0,N_1,Yes
3.1,B_3,16257.2,D_1,1.3,F_2,G_2,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
3.8,B_2,21705.4,D_6,1.0,F_3,G_9,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
4.8,B_2,3084.0,D_6,1.0,F_2,G_4,H_2,I_1,J_1,501.3,0.0,4.5,N_1,Yes
5.6,B_3,11985.9,D_6,1.0,F_3,G_8,H_1,I_1,J_1,0.0,0.0,4.0,N_1,No
3.1,B_2,17585.6,D_2,0.9,F_2,G_7,H_2,I_1,J_1,0.0,0.0,6.0,N_1,Yes
3.5,B_3,34011.0,D_1,1.3,F_2,G_2,H_2,I_1,J_1,0.0,184.8,7.0,N_1,No
3.3,B_3,10450.9,D_6,1.0,F_3,G_1,H_5,I_1,J_2,0.0,0.0,4.0,N_1,Yes
2.6,B_3,18959.0,D_1,1.3,F_1,G_2,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
2.6,B_1,20812.2,D_1,1.3,F_1,G_4,H_1,I_1,J_1,0.0,0.0,1.5,N_1,Yes
2.6,B_3,5930.6,D_1,1.3,F_1,G_6,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
2.8,B_3,5133.1,D_7,1.2,F_2,G_2,H_3,I_1,J_2,0.0,0.0,1.6,N_1,No
2.5,B_3,36641.6,D_2,0.9,F_1,G_1,H_4,I_1,J_2,0.0,0.0,4.0,N_1,Yes
5.2,B_3,11767.4,D_6,1.0,F_2,G_2,H_2,I_1,J_1,0.0,0.0,4.0,N_1,No
4.2,B_3,11865.2,D_7,1.2,F_2,G_11,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
6.0,,36653.1,D_8,1.1,F_7,,H_1,I_1,J_2,0.0,0.0,4.0,N_1,Yes
4.1,B_3,20656.5,D_6,1.0,F_1,G_7,H_1,I_2,J_1,0.0,0.0,4.5,N_1,Yes
3.3,B_3,15932.2,D_2,0.9,F_3,G_5,H_5,I_1,J_1,0.0,0.0,4.0,N_1,Yes
6.9,B_3,12285.0,D_2,0.9,F_2,G_7,H_2,I_1,J_1,0.0,0.0,1.6,N_1,Yes
2.8,B_5,17526.2,D_7,1.2,F_2,G_12,H_2,I_1,J_1,0.0,200.2,4.0,N_9,Yes
1.7,B_3,6536.8,D_3,0.7,F_1,G_6,H_4,I_1,J_2,0.0,0.0,1.2,N_1,Yes
4.8,B_3,41336.3,D_3,0.7,F_2,G_8,H_2,I_1,J_1,0.0,200.2,4.0,N_1,Yes
5.7,B_2,4785.7,D_6,1.0,F_2,G_9,H_2,I_1,J_1,0.0,0.0,5.0,N_1,Yes
7.4,B_3,9716.7,D_2,0.9,F_2,G_5,H_2,I_1,J_1,0.0,0.0,1.5,N_1,Yes
2.7,B_3,15972.4,D_1,1.3,F_1,G_2,H_1,I_1,J_2,0.0,0.0,4.0,N_1,Yes
2.5,B_3,25218.7,D_3,0.7,F_1,G_3,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
2.0,B_3,5387.8,D_2,0.9,F_1,G_7,H_5,I_1,J_1,0.0,0.0,4.0,N_1,Yes
4.3,B_3,15954.9,D_6,1.0,F_2,G_6,H_2,I_1,J_1,0.0,0.0,5.0,N_1,No
5.5,B_3,15147.4,D_1,1.3,F_1,G_11,H_6,I_1,J_2,0.0,159.0,3.8,N_1,Yes
2.9,B_6,26072.9,D_2,0.9,F_2,G_6,H_3,I_1,J_2,0.0,197.7,2.5,N_1,No
4.6,B_3,23469.0,D_2,0.9,F_2,G_6,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
2.8,B_3,20896.5,D_5,0.5,F_1,G_10,H_5,I_5,J_1,0.0,0.0,4.0,N_5,Yes
3.1,B_3,12482.7,D_2,0.9,F_1,G_5,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
2.1,B_3,14980.9,D_7,1.2,F_1,G_6,H_4,I_1,J_1,0.0,0.0,4.0,N_1,Yes
5.9,B_3,22133.6,D_13,0.6,F_7,G_5,H_6,I_3,J_2,0.0,0.0,4.0,N_13,Yes
7.6,,17263.7,D_6,1.0,F_2,,H_2,I_1,J_1,0.0,0.0,2.0,N_1,No
7.2,,3360.8,D_6,1.0,F_2,,H_2,I_1,J_1,938.6,0.0,3.0,N_1,No
4.5,B_6,18549.7,D_1,1.3,F_2,G_2,H_3,I_3,J_2,0.0,0.0,7.0,,Yes
2.8,B_3,14973.4,D_2,0.9,F_1,G_5,H_5,I_2,J_2,0.0,0.0,5.2,N_1,Yes
2.2,B_3,12718.5,D_5,0.5,F_1,G_10,H_1,I_1,J_2,0.0,0.0,4.0,N_1,Yes
3.4,B_3,30277.0,D_6,1.0,F_2,G_6,H_2,I_1,J_1,0.0,0.0,6.0,N_1,Yes
4.2,B_2,5420.2,D_11,1.5,F_2,G_4,H_2,I_1,J_1,0.0,0.0,5.0,N_1,No
4.2,B_3,2744.4,D_6,1.0,F_4,G_4,H_1,I_1,J_1,0.0,0.0,4.0,N_1,No
2.5,B_3,30909.8,D_8,1.1,F_1,G_4,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
5.1,B_5,17681.3,D_7,1.2,F_2,G_4,H_2,I_1,J_1,0.0,0.0,6.0,N_1,Yes
8.2,,5292.1,D_6,1.0,F_7,,H_1,I_4,J_1,0.0,0.0,0.3,N_1,Yes
2.6,B_2,21325.8,D_2,0.9,F_3,G_9,H_5,I_1,J_1,0.0,0.0,6.5,N_1,Yes
1.9,B_3,15150.6,D_2,0.9,F_1,G_5,H_4,I_1,J_2,0.0,0.0,3.0,N_1,Yes
3.7,B_3,25139.6,D_7,1.2,F_2,G_2,H_2,I_1,J_1,0.0,0.0,6.5,N_1,No
2.7,B_3,7220.8,D_6,1.0,F_1,G_1,H_4,I_2,J_1,0.0,0.0,4.0,N_1,Yes
6.5,B_3,35049.8,D_1,1.3,F_2,G_1,H_2,I_1,J_1,1060.5,0.0,2.0,N_1,No
2.6,B_1,10681.2,D_8,1.1,F_3,G_2,H_1,I_1,J_2,0.0,0.0,3.8,N_1,Yes
4.3,B_3,22060.9,D_6,1.0,F_3,G_11,H_1,I_1,J_2,0.0,0.0,5.0,N_1,Yes
4.5,B_3,12013.1,D_6,1.0,F_2,G_7,H_2,I_1,J_1,0.0,188.7,4.0,N_1,No
4.0,B_3,40822.9,D_14,0.2,F_1,G_5,H_1,I_1,J_1,0.0,0.0,4.5,N_25,Yes
3.8,B_2,41499.1,D_2,0.9,F_2,G_10,H_2,I_1,J_1,0.0,0.0,7.0,,Yes
2.7,B_3,32898.1,D_2,0.9,F_1,G_10,H_5,I_2,J_1,0.0,0.0,4.0,N_1,Yes
2.2,B_5,3402.9,D_1,1.3,F_1,G_4,H_4,I_1,J_2,0.0,0.0,2.0,N_1,Yes
2.8,B_3,15681.9,D_2,0.9,F_3,G_3,H_5,I_1,J_2,0.0,0.0,3.6,N_1,Yes
6.7,B_3,19516.1,D_4,1.4,F_2,G_4,H_2,I_1,J_1,2005.1,0.0,6.0,N_1,No
4.5,B_2,23909.3,D_6,1.0,F_2,G_2,H_2,I_4,J_1,313.7,0.0,4.0,N_1,Yes
5.2,B_3,19090.9,D_2,0.9,F_2,G_2,H_2,I_1,J_1,0.0,0.0,4.0,N_1,No
3.7,B_2,18877.4,D_1,1.3,F_1,G_12,H_1,I_1,J_1,0.0,0.0,5.5,N_1,No
5.2,B_2,7225.7,D_6,1.0,F_2,G_6,H_2,I_1,J_1,0.0,0.0,5.0,N_1,Yes
2.8,B_2,3807.9,D_6,1.0,F_2,G_9,H_2,I_1,J_1,0.0,0.0,5.5,N_1,Yes
1.7,B_3,13275.5,D_3,0.7,F_1,G_6,H_4,I_1,J_1,0.0,0.0,1.5,N_1,Yes
2.6,B_3,20203.3,D_1,1.3,F_2,G_8,H_2,I_1,J_1,0.0,0.0,4.0,N_1,No
2.4,B_5,28988.6,D_3,0.7,F_1,G_5,H_1,I_3,J_1,0.0,0.0,4.5,N_1,Yes
4.1,B_3,4979.7,D_6,1.0,F_5,G_2,H_1,I_2,J_2,0.0,0.0,4.0,N_1,Yes
3.1,B_3,23686.1,D_2,0.9,F_2,G_7,H_2,I_1,J_1,0.0,0.0,6.0,N_1,Yes
6.7,B_6,7686.0,D_2,0.9,F_2,G_2,H_2,I_3,J_1,0.0,0.0,4.0,N_1,No
3.3,B_1,13761.6,D_4,1.4,F_1,G_4,H_1,I_2,J_2,0.0,0.0,3.5,N_1,Yes
2.5,B_3,6195.6,D_6,1.0,F_1,G_8,H_1,I_1,J_1,0.0,0.0,5.0,N_1,Yes
5.0,B_5,16918.2,D_2,0.9,F_3,G_5,H_5,I_1,J_2,0.0,0.0,4.9,N_24,Yes
2.7,B_5,26343.1,D_6,1.0,F_1,G_2,H_5,I_1,J_1,0.0,0.0,4.0,N_1,Yes
3.7,B_3,10913.3,D_2,0.9,F_2,G_10,H_2,I_1,J_1,0.0,0.0,4.0,N_23,Yes
4.9,B_3,15981.6,D_1,1.3,F_2,G_4,H_3,I_1,J_2,9999.9,0.0,2.0,N_1,No
2.4,B_3,18006.0,D_4,1.4,F_1,G_2,H_4,I_1,J_1,684.9,0.0,9.0,N_1,Yes
2.3,B_3,24016.0,D_7,1.2,F_1,G_4,H_4,I_1,J_1,0.0,0.0,4.0,N_1,Yes
2.0,B_3,13095.9,D_6,1.0,F_1,G_5,H_4,I_1,J_1,0.0,0.0,2.0,N_1,Yes
3.8,B_3,26664.5,D_4,1.4,F_2,G_2,H_2,I_1,J_1,0.0,0.0,6.0,N_1,No
6.6,B_3,14272.3,D_12,0.3,F_4,G_3,H_5,I_1,J_2,0.0,0.0,4.0,N_7,Yes
2.8,B_3,17668.3,D_7,1.2,F_1,G_4,H_4,I_1,J_1,0.0,0.0,4.0,N_26,Yes
3.3,B_3,37648.3,D_6,1.0,F_3,G_1,H_1,I_2,J_2,0.0,0.0,4.0,N_1,Yes
2.9,B_3,22502.4,D_2,0.9,F_3,G_7,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
2.7,B_3,38603.6,D_6,1.0,F_1,G_8,H_1,I_1,J_1,0.0,0.0,4.8,N_1,Yes
2.0,B_3,20583.9,D_6,1.0,F_1,G_5,H_4,I_1,J_1,0.0,0.0,1.6,N_1,Yes
5.2,B_3,20041.9,D_7,1.2,F_5,G_4,H_1,I_1,J_2,0.0,0.0,5.0,N_1,Yes
4.2,B_2,20152.0,D_2,0.9,F_2,G_7,H_2,I_1,J_1,0.0,0.0,4.5,N_1,Yes
4.1,B_3,20441.0,D_2,0.9,F_2,G_7,H_2,I_1,J_1,0.0,148.5,4.4,N_1,No
3.4,B_3,3960.9,D_8,1.1,F_3,G_1,H_5,I_1,J_2,0.0,0.0,4.0,N_1,Yes
4.7,B_3,22166.6,D_6,1.0,F_3,G_11,H_5,I_1,J_2,0.0,0.0,4.0,N_1,Yes
2.4,B_3,10034.5,D_1,1.3,F_1,G_4,H_4,I_1,J_1,0.0,0.0,2.0,N_1,Yes
5.3,B_5,22172.2,D_4,1.4,F_1,G_2,H_1,I_1,J_2,1434.4,0.0,5.0,N_1,No
4.0,B_6,6488.5,D_4,1.4,F_2,G_6,H_2,I_1,J_1,0.0,0.0,7.0,N_1,No
2.0,,4006.0,D_6,1.0,F_1,,H_4,I_1,J_1,0.0,0.0,5.6,N_1,Yes
6.3,,44516.8,D_1,1.3,F_7,,H_1,I_4,J_2,0.0,0.0,5.6,N_1,Yes
3.3,B_3,13177.6,D_1,1.3,F_3,G_4,H_5,I_1,J_2,91.4,0.0,4.0,N_11,Yes
5.0,B_3,15094.1,D_2,0.9,F_3,G_10,H_5,I_2,J_2,0.0,0.0,4.4,N_1,Yes
3.9,B_6,3397.5,D_2,0.9,F_2,G_7,H_2,I_1,J_1,0.0,0.0,5.0,N_1,Yes
3.6,B_3,30894.5,D_2,0.9,F_2,G_10,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
1.8,B_3,4179.4,D_3,0.7,F_1,G_5,H_4,I_1,J_2,0.0,0.0,2.0,N_1,Yes
3.6,B_5,6177.8,D_2,0.9,F_2,G_4,H_2,I_1,J_1,1502.4,0.0,4.0,N_1,No
4.9,B_6,25776.4,D_2,0.9,F_3,G_2,H_5,I_1,J_2,0.0,0.0,4.0,N_1,Yes
1.8,B_3,21519.0,D_16,0.8,F_1,G_6,H_4,I_1,J_2,0.0,0.0,2.0,N_1,Yes
4.2,B_3,12126.4,D_8,1.1,F_2,G_4,H_2,I_1,J_1,0.0,0.0,4.0,N_1,No
8.1,B_3,36409.9,D_6,1.0,F_3,G_1,H_1,I_1,J_2,0.0,0.0,2.0,N_1,Yes
3.4,B_3,33758.7,D_6,1.0,F_2,G_4,H_2,I_1,J_1,0.0,0.0,5.0,N_1,No
1.7,B_3,11442.0,D_3,0.7,F_1,G_6,H_4,I_1,J_2,0.0,0.0,3.0,N_1,Yes
3.5,B_3,3102.3,D_1,1.3,F_2,G_6,H_2,I_1,J_1,0.0,0.0,4.5,N_1,Yes
2.3,B_3,26852.5,D_1,1.3,F_1,G_4,H_1,I_1,J_1,0.0,0.0,5.0,N_1,Yes
2.0,B_3,29661.8,D_2,0.9,F_1,G_6,H_1,I_1,J_2,0.0,0.0,3.0,N_1,Yes
2.3,B_3,22759.4,D_2,0.9,F_1,G_1,H_1,I_1,J_2,0.0,0.0,3.0,N_1,Yes
3.9,B_4,3231.2,D_1,1.3,F_1,G_4,H_1,I_1,J_2,0.0,0.0,6.0,N_1,Yes
2.5,B_3,30814.4,D_1,1.3,F_1,G_7,H_1,I_1,J_1,0.0,0.0,4.0,N_5,Yes
3.5,B_3,12656.9,D_6,1.0,F_2,G_6,H_2,I_1,J_1,406.4,0.0,4.0,N_1,Yes
5.3,B_3,26372.9,D_6,1.0,F_5,G_1,H_1,I_1,J_2,0.0,0.0,4.0,N_1,Yes
4.9,B_6,19733.2,D_6,1.0,F_2,G_6,H_2,I_1,J_1,0.0,0.0,6.0,N_1,Yes
4.7,B_1,15641.7,D_6,1.0,F_3,G_4,H_5,I_1,J_1,0.0,0.0,2.0,N_1,Yes
4.7,B_3,45498.9,D_2,0.9,F_2,G_2,H_3,I_1,J_2,0.0,0.0,4.0,N_1,No
