entry_id,Feature_A,Feature_B,Feature_C,Feature_D,Feature_E,Feature_F,Feature_G,Feature_H,Feature_I,Feature_J,Feature_K,Feature_L,Feature_M,Feature_N
entry_0,2.1,B_1,16670.4,D_6,1.0,F_1,G_5,H_4,I_1,J_2,0.0,0.0,1.4,N_1
entry_1,6.3,B_3,18791.9,D_3,0.7,F_2,G_5,H_2,I_1,J_1,0.0,0.0,3.0,N_1
entry_2,3.0,B_3,35688.2,D_10,1.6,F_1,G_4,H_4,I_1,J_1,0.0,0.0,2.0,N_1
entry_3,2.0,B_3,15477.9,D_6,1.0,F_1,G_6,H_6,I_5,J_2,0.0,0.0,4.0,N_1
entry_4,4.3,B_3,18880.8,D_4,1.4,F_2,G_2,H_2,I_1,J_1,0.0,0.0,4.5,N_1
entry_5,3.0,B_3,34713.2,D_6,1.0,F_1,G_10,H_1,I_2,J_2,0.0,0.0,4.0,N_1
entry_6,7.9,B_5,8461.6,D_3,0.7,F_2,G_2,H_2,I_1,J_1,0.0,0.0,0.7,N_1
entry_7,3.2,B_4,12871.4,D_2,0.9,F_1,G_5,H_4,I_2,J_2,0.0,0.0,3.2,N_1
entry_8,2.2,B_3,5822.2,D_2,0.9,F_2,G_7,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_9,1.9,B_1,11243.2,D_6,1.0,F_1,G_1,H_4,I_1,J_1,0.0,0.0,1.0,N_1
entry_10,3.0,B_3,19490.1,D_3,0.7,F_1,G_3,H_4,I_1,J_1,0.0,0.0,4.0,N_1
entry_11,5.5,B_6,18386.9,D_11,1.5,F_2,G_2,H_2,I_1,J_1,0.0,0.0,5.0,
entry_12,2.3,B_3,12497.1,D_6,1.0,F_3,G_1,H_1,I_1,J_1,0.0,0.0,4.0,N_1
entry_13,4.1,B_3,5150.6,D_2,0.9,F_2,G_2,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_14,2.7,B_3,58731.0,D_9,0.4,F_1,G_5,H_6,I_1,J_1,0.0,0.0,3.5,N_27
entry_15,3.8,B_1,20028.9,D_10,1.6,F_2,G_4,H_2,I_3,J_1,0.0,0.0,4.0,N_21
entry_16,5.7,B_3,10380.9,D_2,0.9,F_1,G_6,H_5,I_1,J_2,0.0,0.0,4.0,N_1
entry_17,2.1,B_3,28685.3,D_2,0.9,F_1,G_5,H_4,I_1,J_1,0.0,0.0,3.5,N_1
entry_18,3.6,B_3,5110.0,D_6,1.0,F_2,G_7,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_19,2.1,B_3,12372.7,D_2,0.9,F_1,G_2,H_6,I_1,J_2,0.0,0.0,4.0,N_1
entry_20,2.4,B_3,16259.3,D_1,1.3,F_1,G_1,H_1,I_3,J_2,0.0,0.0,4.0,N_1
entry_21,2.5,B_3,12515.9,D_7,1.2,F_2,G_3,H_2,I_2,J_1,0.0,0.0,4.0,N_3
entry_22,1.7,B_3,13080.6,D_13,0.6,F_1,G_3,H_4,I_1,J_1,0.0,0.0,2.4,N_1
entry_23,3.3,B_3,12325.3,D_1,1.3,F_2,G_2,H_2,I_1,J_1,0.0,0.0,5.5,N_1
entry_24,2.8,B_3,14406.3,D_2,0.9,F_2,G_2,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_25,3.3,B_3,20976.8,D_1,1.3,F_2,G_4,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_26,2.7,B_3,31085.0,D_2,0.9,F_2,G_8,H_2,I_1,J_1,0.0,0.0,5.0,N_1
entry_27,2.4,B_3,21612.9,D_2,0.9,F_1,G_1,H_4,I_1,J_1,0.0,0.0,4.0,N_1
entry_28,2.1,B_3,19738.7,D_2,0.9,F_1,G_3,H_4,I_1,J_1,0.0,0.0,2.0,N_1
entry_29,2.3,B_3,18895.0,D_8,1.1,F_1,G_6,H_4,I_1,J_1,0.0,0.0,4.0,N_1
entry_30,2.3,B_3,21983.5,D_6,1.0,F_1,G_12,H_4,I_1,J_1,0.0,0.0,4.0,N_5
entry_31,4.3,B_3,17708.3,D_6,1.0,F_3,G_11,H_5,I_1,J_2,0.0,0.0,3.0,N_1
entry_32,1.8,B_3,21628.4,D_3,0.7,F_1,G_1,H_4,I_1,J_2,0.0,0.0,2.0,N_1
entry_33,2.9,B_5,11558.5,D_6,1.0,F_1,G_3,H_1,I_1,J_1,0.0,0.0,5.0,N_1
entry_34,2.7,B_5,20409.8,D_2,0.9,F_2,G_3,H_6,I_1,J_1,0.0,0.0,5.0,N_1
entry_35,3.1,B_3,7919.0,D_2,0.9,F_1,G_5,H_4,I_1,J_2,0.0,0.0,3.5,N_1
entry_36,2.9,B_3,13627.7,D_13,0.6,F_1,G_5,H_4,I_2,J_2,0.0,0.0,3.2,N_1
entry_37,3.6,B_3,19823.7,D_1,1.3,F_2,G_4,H_2,I_1,J_1,1502.4,0.0,5.0,N_1
entry_38,3.9,,36268.5,D_15,0.1,F_7,,H_1,I_1,J_2,0.0,0.0,2.0,N_25
entry_39,3.7,B_3,22023.7,D_1,1.3,F_2,G_2,H_2,I_1,J_1,517.8,0.0,4.0,N_1
entry_40,4.4,B_3,72116.1,D_6,1.0,F_5,G_10,H_1,I_2,J_1,0.0,0.0,4.0,N_1
entry_41,5.5,B_3,14408.4,D_13,0.6,F_2,G_5,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_42,2.3,B_3,18545.2,D_1,1.3,F_1,G_2,H_1,I_1,J_2,0.0,0.0,3.5,N_10
entry_43,4.6,B_5,21641.4,D_6,1.0,F_2,G_12,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_44,4.4,B_3,25293.0,D_13,0.6,F_3,G_1,H_5,I_5,J_2,0.0,0.0,4.2,N_1
entry_45,4.6,B_6,9892.9,D_1,1.3,F_2,G_6,H_2,I_1,J_1,0.0,0.0,5.2,N_1
entry_46,1.8,B_3,12069.1,D_6,1.0,F_1,G_5,H_4,I_2,J_1,0.0,0.0,3.5,
entry_47,4.4,B_3,12456.3,D_2,0.9,F_2,G_10,H_2,I_2,J_1,0.0,0.0,4.0,N_1
entry_48,4.1,B_2,16902.3,D_1,1.3,F_2,G_1,H_3,I_1,J_2,768.8,0.0,4.0,N_1
entry_49,2.8,B_3,6148.7,D_2,0.9,F_1,G_4,H_5,I_2,J_1,0.0,0.0,4.0,N_1
entry_50,4.4,B_3,26613.5,D_1,1.3,F_2,G_4,H_2,I_1,J_1,0.0,0.0,5.0,N_1
entry_51,3.8,B_3,8030.3,D_6,1.0,F_2,G_6,H_2,I_1,J_1,0.0,0.0,6.0,N_1
entry_52,3.5,B_3,16576.7,D_6,1.0,F_2,G_10,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_53,3.3,B_3,17187.6,D_6,1.0,F_3,G_5,H_5,I_1,J_2,0.0,0.0,4.0,N_1
entry_54,2.6,B_3,15724.9,D_3,0.7,F_1,G_8,H_1,I_1,J_1,0.0,0.0,4.0,N_1
entry_55,2.8,,12314.7,D_6,1.0,F_2,,H_3,I_1,J_2,0.0,188.7,4.0,N_1
entry_56,4.0,B_3,18514.5,D_10,1.6,F_2,G_4,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_57,4.0,B_3,22914.8,D_16,0.8,F_2,G_5,H_2,I_2,J_1,0.0,0.0,4.0,N_3
